,energy_demand,solar_generation,wind_generation,total_renewable,temperature,energy_price,renewable_penetration,hour,day_of_week,month,is_weekend,is_business_hour,day_of_year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2024-01-02 03:00:00,555.889896341559,0.0,130.55513072557048,130.55513072557048,14.542697882303674,55.79775395122462,23.485789467443862,3,1,1,0,0,2,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 04:00:00,610.1110541098225,0.0,140.6277377064108,140.6277377064108,11.142938736389848,54.83886225357372,23.049531189300048,4,1,1,0,0,2,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 05:00:00,633.1720249848507,8.01305460166848,173.56172450552702,181.5747791071955,10.518187929521618,50.55954832100933,28.67700592292274,5,1,1,0,0,2,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 06:00:00,667.040664216638,11.147636220195452,191.58566898466788,202.7333052048633,8.944650469062031,58.5403906657477,30.392945450027415,6,1,1,0,0,2,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 07:00:00,662.8254903712163,5.684392818382283,129.76812173396888,135.45251455235118,13.253217527510923,63.710395504617914,20.435622425518186,7,1,1,0,0,2,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 08:00:00,810.2353844917749,3.434726582413875,197.69405363565798,201.12878021807185,9.317221666751589,67.55006402304676,24.823499944307063,8,1,1,0,1,2,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 09:00:00,864.304440346258,3.037117187087724,169.97219478078836,173.00931196787607,7.4332393005812465,76.92933872509585,20.01717264099268,9,1,1,0,1,2,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 10:00:00,901.7061402226125,0.0,151.01432548246464,151.01432548246464,11.793153517727204,82.49186865186437,16.747620842992415,10,1,1,0,1,2,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 11:00:00,941.0522798877066,0.0,203.48188417524483,203.48188417524483,8.659888129166127,81.58344276414343,21.622803379162505,11,1,1,0,1,2,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 12:00:00,846.6513853865575,13.352556206610648,178.81496967763005,192.1675258842407,12.761943306236969,74.47733768810812,22.697361535232393,12,1,1,0,1,2,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 13:00:00,885.6465111450826,38.86948859168757,205.25113419144404,244.1206227831316,9.871961597852781,73.35294692335286,27.564114995214027,13,1,1,0,1,2,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 14:00:00,826.3685395220705,105.60747641091214,204.24265936359853,309.8501357745107,12.687844018430596,59.6994594095506,37.495393514582766,14,1,1,0,1,2,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 15:00:00,760.9410710056547,85.24481985664266,161.07523827300312,246.3200581296458,17.29085285858083,59.18760982910112,32.37045121038227,15,1,1,0,1,2,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 16:00:00,697.3065842277131,180.39873368670877,141.436968735353,321.8357024220618,19.82114927621828,46.86073514880698,46.15411781583907,16,1,1,0,1,2,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 17:00:00,666.4896964651615,104.35962493209999,206.3061971399051,310.6658220720051,19.92959336572668,46.085462043894324,46.612246778858356,17,1,1,0,1,2,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 18:00:00,679.272162147669,199.83021464550043,164.17203539835873,364.00225004385914,20.309071974157607,40.57810160128645,53.58709959392206,18,1,1,0,1,2,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 19:00:00,586.2165984534922,186.79058639456272,168.49712006824655,355.2877064628093,20.53756368278329,43.476001070023905,60.606899804628476,19,1,1,0,0,2,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 20:00:00,505.4307594769408,136.91740586593193,157.72051257585287,294.6379184417848,18.3871721354926,41.52426314326236,58.29441776489802,20,1,1,0,0,2,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 21:00:00,573.7203793998642,141.83628906480956,92.31876216644005,234.15505123124962,19.70008265717245,39.18399524628538,40.813444953129554,21,1,1,0,0,2,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 22:00:00,590.7998816881176,86.55276328712291,91.06356709690003,177.61633038402294,19.619090997014514,52.88953842665102,30.063704460554774,22,1,1,0,0,2,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 23:00:00,559.4128654207199,25.83980865008826,126.43665111082007,152.27645976090832,21.70110125578457,52.5302725137379,27.22076469342284,23,1,1,0,0,2,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-03 00:00:00,576.5649264335066,0.0,182.70002992829035,182.70002992829035,19.203433251369457,48.08228474614905,31.687676712912328,0,2,1,0,0,3,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 01:00:00,571.3749772322268,0.0,158.90529486944658,158.90529486944658,13.543030632122193,46.761375474368556,27.811034994775753,1,2,1,0,0,3,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 02:00:00,540.7587140126143,0.0,138.93110903202245,138.93110903202245,16.164364611022126,50.20696077629259,25.691885388421426,2,2,1,0,0,3,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 03:00:00,622.8065484454648,4.38655702043599,88.5243130326097,92.91087005304568,13.193117840784778,62.96644188479519,14.918094596942295,3,2,1,0,0,3,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 04:00:00,616.8582306773761,7.596756570915906,123.91179496269166,131.50855153360757,11.162352671620619,55.170029204777265,21.31908840532081,4,2,1,0,0,3,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 05:00:00,551.1737523952353,0.0,98.90200076903788,98.90200076903788,12.496908562794987,50.87351751383993,17.94388799162506,5,2,1,0,0,3,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 06:00:00,582.1339079093711,14.844026518354104,146.7547333452299,161.598759863584,12.382043294517807,51.79085416521839,27.759722920785833,6,2,1,0,0,3,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 07:00:00,646.069307083937,1.7938779562823342,143.12841113584912,144.92228909213145,11.583201952730525,59.415470223028095,22.43138429625217,7,2,1,0,0,3,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 08:00:00,847.8976125883477,0.0,153.85963688541864,153.85963688541864,7.83776162578726,78.15200147432573,18.146016052072213,8,2,1,0,1,3,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 09:00:00,849.6112479293398,0.0,178.80706415601327,178.80706415601327,9.102216962795698,76.83018617309297,21.04575058202198,9,2,1,0,1,3,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 10:00:00,837.7550416808388,0.0,130.0536685905849,130.0536685905849,10.982571112333034,77.46180818756443,15.524068745638383,10,2,1,0,1,3,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 11:00:00,859.1992630431199,0.0,107.08130420763322,107.08130420763322,13.22464623935797,83.90733404495032,12.462918535145349,11,2,1,0,1,3,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 12:00:00,870.3612171213209,7.682438370251763,126.52890265715014,134.21134102740191,11.557848196541958,85.21496270123495,15.420188582310649,12,2,1,0,1,3,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 13:00:00,812.5344636616621,33.76613817750726,92.98989780289257,126.75603598039983,13.591964448289778,77.52793252707237,15.600081184147877,13,2,1,0,1,3,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 14:00:00,836.3882287899972,64.41005235033757,175.36760555920006,239.77765790953762,13.30352672422048,64.64513967266831,28.668224833391537,14,2,1,0,1,3,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 15:00:00,777.6756586083519,122.88239773426778,122.007709966534,244.89010770080176,14.67669769468632,61.860478257584305,31.490005504226765,15,2,1,0,1,3,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 16:00:00,714.510634471186,113.3950894402155,112.35514021985048,225.750229660066,20.14124831702093,55.66556509059142,31.595083231636607,16,2,1,0,1,3,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 17:00:00,671.2824636419116,170.6955085542877,99.04015128467123,269.7356598389589,22.47131741649347,50.95608926968046,40.18214007491881,17,2,1,0,1,3,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 18:00:00,592.3100160801403,173.7600796439744,78.14997731326775,251.91005695724215,20.568328851778503,44.99650812243109,42.53010250009995,18,2,1,0,1,3,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 19:00:00,514.9080551205366,118.3949443109295,80.83345301831224,199.22839732924174,23.318817425750996,36.59164190387139,38.692033528705174,19,2,1,0,0,3,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 20:00:00,527.6724217254748,136.0210519243206,105.9819581581506,242.0030100824712,22.239468722327807,42.277038911746565,45.862357045518465,20,2,1,0,0,3,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 21:00:00,525.2172976878004,128.37943629194257,143.82167087508975,272.2011071670323,20.0215121207567,36.66344109616433,51.826378979778774,21,2,1,0,0,3,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 22:00:00,559.799321499479,84.94082243244635,118.47874980756521,203.41957224001158,21.435140305955997,50.3155217973938,36.33794547930707,22,2,1,0,0,3,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-03 23:00:00,542.4110604644025,15.532937043090548,103.42072163690659,118.95365867999715,22.83491049228376,52.19941138493868,21.930537068722604,23,2,1,0,0,3,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-04 00:00:00,551.7181052433691,0.0,96.50610442204011,96.50610442204011,18.616372189803297,51.78201958651541,17.491922687487328,0,3,1,0,0,4,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 01:00:00,531.9339295924755,0.0,97.09224288386876,97.09224288386876,20.370225850266337,50.058210458782625,18.25268844163653,1,3,1,0,0,4,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 02:00:00,617.3273872774996,3.033224949808993,73.9992882776131,77.0325132274221,10.448534059843709,65.07377328036979,12.478389071177661,2,3,1,0,0,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 03:00:00,541.0447579178287,9.841777405206301,124.84433092709648,134.68610833230278,15.77891500615852,49.46196528885747,24.89370913612257,3,3,1,0,0,4,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 04:00:00,561.2479000276976,0.0,70.81779890343505,70.81779890343505,12.862118404499542,58.75304838357184,12.617917839860102,4,3,1,0,0,4,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 05:00:00,578.8010420476209,0.0,82.12397680990756,82.12397680990756,10.847368879972178,64.50604722186245,14.18863665472648,5,3,1,0,0,4,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 06:00:00,553.8176673697948,0.0,27.952450989544225,27.952450989544225,10.675393398387572,60.48878944533784,5.047229916354372,6,3,1,0,0,4,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 07:00:00,684.3783794125123,7.3077898561392525,88.16502245692355,95.4728123130628,5.917331481087003,69.07044528303207,13.950296383561836,7,3,1,0,0,4,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 08:00:00,760.6465214901813,4.301039223599037,143.46859366786012,147.76963289145917,9.248680492348175,75.54722232199137,19.426846599122538,8,3,1,0,1,4,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 09:00:00,766.3734021638362,3.425489982484609,84.83455168704555,88.26004166953015,10.606694453312281,78.62287647582983,11.5165846596881,9,3,1,0,1,4,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 10:00:00,794.954997276233,0.0,95.35625433616816,95.35625433616816,13.4476599347996,75.14006608793247,11.995176414122662,10,3,1,0,1,4,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 11:00:00,799.1361634681956,0.0,110.35390537854997,110.35390537854997,10.408843144356618,80.39439284416099,13.809149231793198,11,3,1,0,1,4,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 12:00:00,801.3648061109062,4.122354572995739,78.4843979388647,82.60675251186044,11.071037062236824,78.38679678655424,10.308258096928197,12,3,1,0,1,4,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 13:00:00,806.4021701293975,36.352703865165324,105.09553017088774,141.44823403605307,13.131595910239001,80.71581619553335,17.540656421268793,13,3,1,0,1,4,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 14:00:00,745.3962837820636,73.39790504695122,79.9248460623786,153.32275110932983,17.518828503427347,66.73875045227945,20.56929373613,14,3,1,0,1,4,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 15:00:00,703.5635338708762,95.70198571402415,67.50076413014143,163.20274984416557,17.898440757957694,72.94460692590806,23.196590213573785,15,3,1,0,1,4,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 16:00:00,668.233207155232,116.41101638208664,50.25653848124385,166.6675548633305,17.628503860489122,64.55869319417319,24.94152536550212,16,3,1,0,1,4,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 17:00:00,622.0708089026407,180.52137712873065,65.61571957947362,246.13709670820427,20.957199821369194,45.20353351055971,39.56737612272798,17,3,1,0,1,4,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 18:00:00,530.7236034696617,198.5819478893877,123.02486633171736,321.6068142211051,21.07833178942591,40.06004141500483,60.5977974445769,18,3,1,0,1,4,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 19:00:00,464.96176801226187,99.01466561193837,76.90508886002388,175.91975447196225,23.420869206823387,42.26093284490039,37.83531605706621,19,3,1,0,0,4,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 20:00:00,516.8750041137134,161.4424300055089,54.505876374660204,215.9483063801691,20.283918080268492,42.44365119603455,41.77959945082972,20,3,1,0,0,4,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 21:00:00,474.0682472867711,98.48686828494066,89.20520967961353,187.6920779645542,20.82825493256207,41.32700877992859,39.59178431349704,21,3,1,0,0,4,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 22:00:00,468.2875104866323,63.76985540020576,59.098850888068796,122.86870628827455,20.099960384465515,48.29835753073411,26.237878127604247,22,3,1,0,0,4,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-04 23:00:00,459.52835104267064,60.52724400709385,95.74722349189113,156.274467498985,17.003635058878245,39.95648151446546,34.007579106794594,23,3,1,0,0,4,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-05 00:00:00,466.8481568205496,0.39446665216178106,72.75337227260587,73.14783892476765,19.451888541503617,48.26987878385009,15.668443337752052,0,4,1,0,0,5,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 01:00:00,455.2501658707898,6.150717407751174,15.0,21.150717407751173,17.934672802349372,52.36935288253002,4.645954904221655,1,4,1,0,0,5,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 02:00:00,478.71592381619087,0.0,65.14195519687968,65.14195519687968,15.869874900659388,53.93251655784751,13.607643271522294,2,4,1,0,0,5,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 03:00:00,501.10652410345904,2.904925021956187,88.11383789338778,91.01876291534397,13.837559450009046,52.104319239719445,18.163555758566044,3,4,1,0,0,5,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 04:00:00,559.3163574829208,2.4888799291455617,88.4834284672979,90.97230839644347,10.028906503273637,57.70825590571851,16.264911115034103,4,4,1,0,0,5,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 05:00:00,507.22739155597895,0.0,82.63000640277365,82.63000640277365,10.775716654724462,54.84544126309208,16.290525270982805,5,4,1,0,0,5,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 06:00:00,520.3948622011567,16.12220088368512,69.63263900425031,85.75483988793543,9.978066531614294,47.31084500776056,16.47880217825579,6,4,1,0,0,5,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-05 07:00:00,587.9549703647169,10.325155687380377,17.753169181510003,28.07832486889038,8.459538491196817,66.91787102120811,4.775591037434889,7,4,1,0,0,5,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
